Filename,DOI,Species,Mod_type,Phenotype,Quant_Data,Promoter,Application_Category,Gene_Target,Selection_Markers,Mod_Method,Mod_Direction
10346813.pdf,10.3390/plants12132474,Vernicia fordii,Cloning and Functional Analysis,Increased expression of VfRR17 gene leading to female flower differentiation,Expression level increased 3.47-fold at 24 hours post-treatment; peak expression at 1 DBF in female flowers (5.63-fold increase); peak expression at 20 DBF in male flowers (2.01-fold increase),,Not Explicitly Named,VfRR17,,Unknown,Modification
10351383.pdf,10.3389/fpls.2023.1147932,Gossypium hirsutum,Virus-induced gene silencing (VIGS),Reduced drought resistance,Increased MDA content; Decreased POD activity; Decreased CAT activity,,"Drought Tolerance, Plant Transformation",GhVAMP72l,,VIGS,Knockdown/Out
10361821.pdf,10.3389/fgeed.2023.1171969,Zea mays,CRISPR/Cas9,Drought tolerance,Improved water use efficiency; Reduced water requirement | Increased yield under pest pressure; Reduced insect damage,,"Drought Tolerance, Abiotic-Stress-Tolerant",cspB,,CRISPR/Cas9,Modification
10361821.pdf,10.3389/fgeed.2023.1171969,Zea mays,CRISPR/Cas9,Drought tolerance,Improved water use efficiency; Reduced water requirement | Increased yield under pest pressure; Reduced insect damage,,"Insect-Resistant, Pest Resistance",cspB,,CRISPR/Cas9,Modification
10363504.pdf,10.1016/j.xplc.2023.100570,Arabidopsis thaliana,Repression,Flowering time delay,Leaf number at bolting: WT (23°C) = 10; WT (16°C) = 30; hos15-2 (23°C) = 10; hos15-2 (16°C) = 10 | GI-HA protein levels at 23°C: WT = 1.0; hos15-2 = 1.0; cop1-4 = 1.0; hos15-2 cop1-4 = 1.0 | Flowering time ratio at 16°C/23°C: 2.2 (HOS15HA); 1.8 (HOS15HA),,"Flowering, Above-Ground Biomass Property",HOS15,,Unknown,Modification
10363504.pdf,10.1016/j.xplc.2023.100570,Arabidopsis thaliana,Repression,Flowering time delay,Leaf number at bolting: WT (23°C) = 10; WT (16°C) = 30; hos15-2 (23°C) = 10; hos15-2 (16°C) = 10 | GI-HA protein levels at 23°C: WT = 1.0; hos15-2 = 1.0; cop1-4 = 1.0; hos15-2 cop1-4 = 1.0 | Flowering time ratio at 16°C/23°C: 2.2 (HOS15HA); 1.8 (HOS15HA),,"Flowering, Gene Expression",HOS15,,Unknown,Modification
10363759.pdf,10.1111/pbi.14069,Glycine max,CRISPR/Cas9-mediated knockout,Flowering time delay; increased grain yield,Flowering time: 50 days after emergence (DAE); Grain yield increase: 60% to 87%,35S promoter,Flowering; Grain Property; Grain Yield,TOE4b,,CRISPR/Cas9,Knockdown/Out
10363759.pdf,10.1111/pbi.14069,Glycine max,CRISPR/Cas9 knockout; Agrobacterium-mediated overexpression,Flowering time delay; increased grain yield,Flowering time: 50 days after emergence (DAE); Grain yield increase: 60% to 87%,35S promoter,Flowering; Grain Property; Grain Yield,TOE4b,,Agrobacterium,Overexpression
10374103.pdf,10.1371/journal.ppat.1011498,Schistosoma,RNA interference (RNAi),Tegument shedding and formation of oversized bulb-like structures,67% of treated worms showed significant changes in tegument | Tegument thickness reduced by 30%,,"Disease Resistance, Nutrient Utilization",VAMP2,,RNAi,Knockdown/Out
10374103.pdf,10.1371/journal.ppat.1011498,Schistosoma,RNA interference (RNAi),Thinner tegument and vacuole formation,67% of treated worms showed significant changes in tegument | Tegument thickness reduced by 30%,,"Disease Resistance, Nutrient Utilization",VAMP2,,RNAi,Knockdown/Out
10375722.pdf,10.3389/fphys.2023.1224009,Riptortus pedestris,RNA interference (RNAi),Disruption of olfactory recognition,Silencing efficiency: 80% at day 3; 85% at day 5; 85% at day 7,,"Disease Resistance, Pest Resistance",RpedOrco,,RNAi,Knockdown/Out
10380932.pdf,10.3390/ijms241411477,Glycine max,Agrobacterium-mediated overexpression,Reduced drought tolerance,"Decreased expression of stress-responsive genes AtRD29A, AtRD29B, AtP5CS2, and AtKIN1 | Survival rate decreased; Water loss increased",CAMV 35S,"Drought Tolerance, Stress Responses",GmCAMTA2,,Agrobacterium,Overexpression
10380932.pdf,10.3390/ijms241411477,Glycine max,Agrobacterium-mediated overexpression,Reduced drought tolerance,"Decreased expression of stress-responsive genes AtRD29A, AtRD29B, AtP5CS2, and AtKIN1 | Survival rate decreased; Water loss increased",CAMV 35S,"Drought Tolerance, Stress Responses",GmCAMTA8,,Agrobacterium,Overexpression
10381798.pdf,10.3390/jof9070723,Clonostachys rosea,CRISPR/Cas9 knockout,Reduced accumulation of 15-ADON-3G,Normalized peak area: 0.06 (median),,"Disease Resistance, Detoxification",CrUGT3,,CRISPR/Cas9,Knockdown/Out
10381798.pdf,10.3390/jof9070723,Clonostachys rosea,CRISPR/Cas9 knockout,Reduced accumulation of 15-ADON-3G,Normalized peak area: 0.06 (median),,"Disease Resistance, Detoxification",CrUGT6,,CRISPR/Cas9,Knockdown/Out
10392026.pdf,10.1093/hr/uhac260,Vitis vinifera,RNA interference (RNAi) and Overexpression (OE),Altered fruit ripening and sugar accumulation,"Soluble solids concentration: 12 g/100 g FW (RNAi), 15 g/100 g FW (WT), 18 g/100 g FW (OE); Sugar content: Sucrose (Suc): 1 mg/g FW (RNAi), 1 mg/g FW (WT), 7 mg/g FW (OE); Glucose (Glc): 1 mg/g FW (RNAi), 1 mg/g FW (WT), 7 mg/g FW (OE); Fructose (Fru): 1 mg/g FW (RNAi), 1 mg/g FW (WT), 7 mg/g FW (OE)",,"Fruit Property, Fruit Yield",VvVPT1,,RNAi,Overexpression
10397291.pdf,10.1038/s41467-023-40362-2,Cannabis sativa,Site-directed mutagenesis,TRPV6 inhibition by THCV,IC50 value: 15.4 ± 2.3 µM,,"Gene Expression, Disease Resistance",TRPV6,,Unknown,Modification
10397291.pdf,10.1038/s41467-023-40362-2,Cannabis sativa,Observational Study (RNA-seq / Transcriptomics),TRPV6 inhibition by THCV,IC50 value: 15.4 ± 2.3 µM,,"Gene Expression, Disease Resistance",TRPV6,,Unknown,Modification
10405317.pdf,10.1016/j.isci.2023.107362,Gossypium hirsutum,Virus-induced gene silencing (VIGS),Chilling tolerance,Expression level of GhCAN1 increased under cold stress; Expression level of SnRK2.8 increased in TRV2::CAN1-infected plants | Expression level of GbCAN1 increased under cold stress; Expression level of SnRK2.8 increased in TRV2::CAN1-infected plants,,"Disease Resistance, Cold Tolerance",CAN1,,VIGS,Knockdown/Out
10405317.pdf,10.1016/j.isci.2023.107362,Gossypium hirsutum,Natural antisense transcript (NAT) up-regulation,Chilling tolerance,Expression level of GhCAN1 increased under cold stress; Expression level of SnRK2.8 increased in TRV2::CAN1-infected plants | Expression level of GbCAN1 increased under cold stress; Expression level of SnRK2.8 increased in TRV2::CAN1-infected plants,,"Disease Resistance, Cold Tolerance",CAN1,,Unknown,Modification
10415200.pdf,10.21769/BioProtoc.4784,Arabidopsis thaliana,Golden Gate Cloning with Bpi1 site removal,gene expression,transgene expression level relative to endogenous control; Ct values from qPCR,,Gene Expression,endogenous gene,,Unknown,Modification
10415200.pdf,10.21769/BioProtoc.4784,Arabidopsis thaliana,transgenic expression,gene expression,transgene expression level relative to endogenous control; Ct values from qPCR,,Gene Expression,endogenous gene,,Unknown,Modification
10418933.pdf,10.3390/ijms241512126,East african highland banana,Agrobacterium-mediated RNAi,Resistance to Radopholus similis,Necrosis index reduced by 92-85%; Female nematode count reduced by 92-85%,Zea mays Ubi promoter,"Disease Resistance, Pest Resistance",Rps13,,Agrobacterium,Modification
10418933.pdf,10.3390/ijms241512126,East african highland banana,RNAi-mediated gene silencing,Resistance to Radopholus similis,Necrosis index reduced by 92-85%; Female nematode count reduced by 92-85%,Zea mays Ubi promoter,"Disease Resistance, Pest Resistance",Rps13,,RNAi,Knockdown/Out
10423179.pdf,10.1007/s42994-023-00106-8,Sorghum bicolor,Knockout,Increased alkaline tolerance,Grain yield increased by 20-28%; Alkaline tolerance improved,,"Disease Resistance, Plant Transformation",SbAT1,,Unknown,Knockdown/Out
10442685.pdf,10.1089/can.2021.0181,Cannabis sativa,Agrobacterium-mediated overexpression,Increased levels of Δ⁹-THC in serum,100 pmol/mL (aqueous); 60 pmol/mL (lipid) | 40 pmol/mL (aqueous); 60 pmol/mL (lipid),,"Pharmaceutical Precursors, Chemicals",THC,,Agrobacterium,Overexpression
10442685.pdf,10.1089/can.2021.0181,Cannabis sativa,Agrobacterium-mediated overexpression,Increased levels of CBD in serum,100 pmol/mL (aqueous); 60 pmol/mL (lipid) | 40 pmol/mL (aqueous); 60 pmol/mL (lipid),,"Pharmaceutical Precursors, Chemicals",THC,,Agrobacterium,Overexpression
10447600.pdf,10.1007/s11356-023-28833-x,Oryza sativa,Overexpression,Arsenic tolerance,Shoot length increased by 20%; Root biomass decreased by 10% | Shoot length under acute As(III): WT - 32% reduction; OE - 20% reduction; Shoot length under acute As(V): WT - 21% reduction; OE - 16% reduction; Root biomass under chronic As(III): WT - significant reduction; OE - reduced but less significant,Maize Ubi1 | Maize UBIL promoter,"Disease Resistance, Detoxification",OsGSTU40,,Unknown,Overexpression
10447600.pdf,10.1007/s11356-023-28833-x,Oryza sativa,Overexpression,Arsenic tolerance,Shoot length increased by 20%; Root biomass decreased by 10% | Shoot length under acute As(III): WT - 32% reduction; OE - 20% reduction; Shoot length under acute As(V): WT - 21% reduction; OE - 16% reduction; Root biomass under chronic As(III): WT - significant reduction; OE - reduced but less significant,Maize Ubi1 | Maize UBIL promoter,"Disease Resistance, Above-Ground Biomass Property, Above-Ground Biomass Yield, Root Property",OsGSTU40,,Unknown,Overexpression
10469158.pdf,10.1007/s12192-022-01316-7,Solanum lycopersicum,Agrobacterium-mediated overexpression,Increased tolerance to ER stress elicitor tunicamycin,Relative hypocotyl elongation: 120%; Relative root elongation: 150% | Relative hypocotyl elongation: 80%; Relative root elongation: 90%,,Not Explicitly Named,HsfA1a,,Agrobacterium,Overexpression
10469158.pdf,10.1007/s12192-022-01316-7,Solanum lycopersicum,Agrobacterium-mediated overexpression,Decreased tolerance to ER stress elicitor tunicamycin,Relative hypocotyl elongation: 120%; Relative root elongation: 150% | Relative hypocotyl elongation: 80%; Relative root elongation: 90%,,Not Explicitly Named,HsfA1a,,Agrobacterium,Overexpression
10476381.pdf,10.1186/s12864-023-09588-8,N. tabacum l.,RNA interference (RNAi) suppression,Increased anatabine accumulation; Reduced nicotine content,Anatabine: ~1.6X increase; Nicotine: Near-complete reduction,,"Disease Resistance, Chemicals",MPO,,RNAi,Knockdown/Out
10476381.pdf,10.1186/s12864-023-09588-8,N. tabacum l.,RNAi suppression,Increased anatabine accumulation; Reduced nicotine content,Anatabine: ~1.6X increase; Nicotine: Near-complete reduction,,"Disease Resistance, Chemicals",MPO,,RNAi,Modification
10485273.pdf,10.3389/fpls.2023.1239191,Pilosella piloselloides,EMS-induced point mutation,Parthenogenesis,Allele sequence divergence (ASD) analysis; Transposable element insertion in promoter,Contains transposable element insertion,"Gene Expression, Disease Resistance",PAR,,Unknown,Mutation
10485273.pdf,10.3389/fpls.2023.1239191,Pilosella piloselloides,Observational Study (RNA-seq / Transcriptomics),Parthenogenesis,Allele sequence divergence (ASD) analysis; Transposable element insertion in promoter,Contains transposable element insertion,"Gene Expression, Disease Resistance",PAR,,Unknown,Modification
10486898.pdf,10.3389/fpls.2023.1242240,Vitis vinifera,CRISPR/Cas9 knockout,Reduced susceptibility to downy mildew,Endogenous salicylic acid levels increased; Reduced DM severity,,"Disease Resistance, Gene Expression",VviDMR6-1; VviDMR6-2,,CRISPR/Cas9,Knockdown/Out
10490167.pdf,10.3390/plants12173030,Glycine soja,Agrobacterium-mediated overexpression,Increased salt tolerance,Fresh weight per plant increased by 22.22%; Leaf chlorophyll content increased by 42.94%; MDA content decreased by 62.62%,35S promoter,"Disease Resistance, Photosynthesis, Plant Transformation",GsWRKY23,,Agrobacterium,Overexpression
10490167.pdf,10.3390/plants12173030,Glycine soja,Overexpression using Agrobacterium-mediated transformation,Increased salt tolerance,Fresh weight per plant increased by 22.22%; Leaf chlorophyll content increased by 42.94%; MDA content decreased by 62.62%,35S promoter,"Disease Resistance, Photosynthesis, Plant Transformation",GsWRKY23,,Agrobacterium,Overexpression
10504582.pdf,10.1016/j.xplc.2023.100605,Oryza sativa l.,CRISPR/Cas9-mediated editing,Enhanced resistance to HPPD-inhibiting herbicides,GR50 WT: 71.14 ± 6.12 g ai ha⁻¹; GR50 TS8-2#-10: 338.63 ± 26.33 g ai ha⁻¹; GR50 TS8-8#-6: 263.87 ± 19.34 g ai ha⁻¹; Resistance Index TS8-2#-10: 4.8-fold; Resistance Index TS8-8#-6: 3.7-fold | GR50 value for WT: 71.14 ± 6.12 g ai ha⁻¹; GR50 value for TS8-2#-10: 338.63 ± 26.33 g ai ha⁻¹; GR50 value for TS8-8#-6: 263.87 ± 19.34 g ai ha⁻¹,string,"Herbicide Resistance, Plant Transformation",OsHPPD,,CRISPR/Cas9,Modification
10504582.pdf,10.1016/j.xplc.2023.100605,Oryza sativa l.,CRISPR/Cas9-mediated editing,Enhanced resistance to HPPD-inhibiting herbicides,GR50 WT: 71.14 ± 6.12 g ai ha⁻¹; GR50 TS8-2#-10: 338.63 ± 26.33 g ai ha⁻¹; GR50 TS8-8#-6: 263.87 ± 19.34 g ai ha⁻¹; Resistance Index TS8-2#-10: 4.8-fold; Resistance Index TS8-8#-6: 3.7-fold | GR50 value for WT: 71.14 ± 6.12 g ai ha⁻¹; GR50 value for TS8-2#-10: 338.63 ± 26.33 g ai ha⁻¹; GR50 value for TS8-8#-6: 263.87 ± 19.34 g ai ha⁻¹,string,Herbicide Resistance,OsHPPD,,CRISPR/Cas9,Modification
10514960.pdf,10.1186/s43897-023-00064-1,Lilium,Agrobacterium-mediated overexpression,Thermotolerance,Relative ion leakage: 0.3 (HS); Survival rate: 40% (OE-1) | Relative expression of LlC3H18: 50% (OE); Relative expression of LlWRKY33: 50% (OE),LlC3H18 promoter | LlMYB305 promoter,"Disease Resistance, Thermotolerance",LlC3H18,,Agrobacterium,Overexpression
10514960.pdf,10.1186/s43897-023-00064-1,Lilium,Agrobacterium-mediated overexpression,Thermotolerance,Relative ion leakage: 0.3 (HS); Survival rate: 40% (OE-1) | Relative expression of LlC3H18: 50% (OE); Relative expression of LlWRKY33: 50% (OE),LlC3H18 promoter | LlMYB305 promoter,"Thermotolerance, Gene Expression",LlC3H18,,Agrobacterium,Overexpression
10514982.pdf,10.1186/s43897-021-00011-y,Solanum lycopersicum,RNA interference (RNAi),Delayed fruit ripening,Expression levels of SlDof1 mRNA in fruits: WT vs RNAi lines; Lycopene accumulation: WT vs RNAi lines; Ethylene production: WT vs RNAi lines,CaMV 35S promoter,"Fruit Property, Fruit Ripening Regulation",SlDof1,,RNAi,Knockdown/Out
10515147.pdf,10.1073/pnas.2306494120,Triticum aestivum,EMS-induced point mutation,Altered VRN-A1 expression; Reduced spikelet number per spike,Expression increased by 33.6%; Spikelet number reduced by 10%,VRN-A1 promoter,"Gene Expression, Flowering, Above-Ground Biomass Property",VRN-A1,,Unknown,Mutation
10515147.pdf,10.1073/pnas.2306494120,Triticum aestivum,EMS-induced mutation in promoter region,Altered VRN-A1 expression; Reduced spikelet number per spike,Expression increased by 33.6%; Spikelet number reduced by 10%,VRN-A1 promoter,"Gene Expression, Flowering, Above-Ground Biomass Property",VRN-A1,,Unknown,Mutation
10530544.pdf,10.3390/ijms241813766,Pinus massoniana,Overexpression using Agrobacterium-mediated transformation,"Increased flavonoid and lignin content, altered secondary wall composition",Lignin content increased by 0.15% and 2.54%; flavonoid content significantly increased,35S promoter,"Above-Ground Biomass Property, Biosensing, Disease Resistance, Wood Biomass Property",PmMYB6,,Agrobacterium,Overexpression
10539295.pdf,10.1038/s41467-023-41833-2,Triticum aestivum,EMS-induced point mutation,Leaf rust resistance,Transcript levels of Lr47 increased upon infection; Resistance infection types (ITs) 0-2,,Disease Resistance,Lr47,,Unknown,Mutation
10539295.pdf,10.1038/s41467-023-41833-2,Triticum aestivum,EMS point mutation,Leaf rust resistance,Transcript levels of Lr47 increased upon infection; Resistance infection types (ITs) 0-2,,Disease Resistance,Lr47,,Unknown,Mutation
10541219.pdf,10.3389/fpls.2023.1253640,Nicotiana tabacum,Meganuclease-mediated genome editing,Cytoplasmic male sterility (CMS) and abortive seed traits,Seed weight decreased by 7.3 to 14.4 times; Germination rate 0% | None explicitly provided,CaMV 35S | CaMV 35S promoter,"Above-Ground Biomass Property, Seed Property, Hybrid Seed Production",atp1,,Unknown,Modification
10541219.pdf,10.3389/fpls.2023.1253640,Nicotiana tabacum,Meganuclease-mediated genome editing,Cytoplasmic male sterility (CMS) and abortive seed traits,Seed weight decreased by 7.3 to 14.4 times; Germination rate 0% | None explicitly provided,CaMV 35S | CaMV 35S promoter,"Disease Resistance, Seed Dormancy, Seed Property, Seed Yield",atp1,,Unknown,Modification
