Filename,DOI,Species,Mod_type,Phenotype,Quant_Data,Promoter,Application_Category,Gene_Target,,Mod_Method,Mod_Direction
10670430.pdf,10.3390/foods12224112,triticum durum,gene knockout,amylose content variation,amylose content: 14.9%; 30.0%; 31.7%; 34.0%; 43.5%; 57.8% | amylose content: 43.5% | amylose content: 57.8% | 14.9%; 30.0%; 31.7%; 34.0%; 43.5%; 57.8% | 0.11%; 0.22%; 0.20%; 0.73%; 2.06%; 7.36%,,"above-ground biomass property, biosensing, biofuel precursors, gene expression, fruit property, fruit yield, leaf property, leaf yield, root property, root yield, seed property, seed yield, symbiosis, water utilization","wx-a1, wx-b1",,unknown,knockdown/out
10670930.pdf,10.3390/ijms242216052,oryza sativa,crispr/cas9-mediated knockout,enhanced susceptibility to m. oryzae,lesion area increased by 30%; fungal biomass increased by 25% | lesion area decreased by 20%; fungal biomass decreased by 15%,,disease resistance,ospao4,,crispr/cas9,knockdown/out
10671120.pdf,10.3390/ijms242216405,quercus mongolica,agrobacterium-mediated overexpression,increased vascular bundle numbers and xylem differentiation,vascular bundle number increased from 5 to 7; xylem differentiation enhanced,35s promoter,"above-ground biomass property, wood biomass property",qmbri1,,agrobacterium,overexpression
10674463.pdf,10.3390/molecules28227613,safflower,agrobacterium-mediated overexpression,increased accumulation of quercetin-3-o-rutinoside (rutin),6.3–39.6 times increase; decreased kaempferol-3-o-glucoside by 57–76%,,"flavonoid biosynthesis, plant transformation",ctugt4,,agrobacterium,overexpression
10691899.pdf,10.1155/2023/8832406,vigna unguiculata,rnai,rna processing,7 proteins participate in rna processing (go:0006396; p value = 1.70e-06) | 7 proteins participate in rna metabolic process (go:0016070; p value = 0.0029) | 7 proteins have rdrp activity (go:0004521; p value = 1.00e-06) | yield loss due to biotic stress: 80-100%; yield loss due to abiotic stress: 35-69%,,"gene expression, disease resistance, rnai",vudcl1,,rnai,modification
10701439.pdf,10.3389/fpls.2023.1273958,n. benthamiana,transient expression in nicotiana benthamiana,"assembles into capsid particles, inducing immune response",2.38 g/kg flw,,"vaccine production, disease resistance",hepatitis b core antigen (hbc),,unknown,modification
10706117.pdf,10.3390/ijms242316775,capsicum annuum,crispr/cas9 knockout,disease resistance,indel frequency 6.3%; indel frequency 0.0% | indel frequency: 5%; indel frequency: 7%; indel frequency: 10%,,"disease resistance, genome editing",camlo2,,crispr/cas9,knockdown/out
10708107.pdf,10.3390/plants12234070,oryza sativa,crispr/cas9-mediated knockout,"decreased starch content, abnormal starch granules, increased chalkiness, reduced drought tolerance",starch content: 75%; amylose content: 14%; protein content: 8%; chalky grain percentage: 100%; survival rate under drought: 13%,prooslea1b,"above-ground biomass property, drought tolerance, grain property",oslea1b,,crispr/cas9,knockdown/out
10712317.pdf,10.7717/peerj.16610,sapium sebiferum,agrobacterium-mediated overexpression,"delayed seed germination, longer hypocotyl and roots, broader and longer leaves and petioles",seed germination rate; hypocotyl length; root length; leaf length; petiole length,,"seed dormancy, leaf property, root property",sssmax1,,agrobacterium,overexpression
10734892.pdf,10.1093/pcp/pcad130,arabidopsis thaliana,glucocorticoid-mediated post-translational induction system with vnd7 fused to the vp16 transactivation domain and the partial sequence of the rat glucocorticoid receptor (gr),xylem vessel cell differentiation,metabolite levels; gene expression changes,glucocorticoid-inducible promoter,"plant transformation, disease resistance",vnd7,,unknown,modification
10761098.pdf,10.1080/15592324.2022.2153209,arabidopsis thaliana,rps5a promoter-driven overexpression,increased cell size in various tissues and organs,leaf pavement cell size increased; guard cell size increased by 10%; petal epidermal cell size increased by 15%; sepal epidermal cell size increased by 12%; embryo cell size increased by 20%,ribosomal protein 5a (rps5a) promoter,"above-ground biomass property, leaf property, fruit property, seed property, above-ground biomass yield",scl28,,unknown,overexpression
10766390.pdf,10.1080/15592324.2023.2300239,arabidopsis thaliana,t-dna insertional knockout,pathogen susceptibility,"reduced pst titers in eds1–2; unchanged in eds1 sapx | reduced pst titers in cold-primed eds1 sapx; no change in eds1 sapx without cold priming | pst titers in eds1 sapx double mutant vs. wildtype col-0: avrrpm1, 0.5 log₁₀ increase; avrrps4, 3 log₁₀ increase",,disease resistance,eds1,,unknown,knockdown/out
10769307.pdf,10.1101/2023.12.19.572350,xenopus laevis,"wildtype and icf disease-associated mutations (r232h, g252v, r262h)",selective binding to hemimethylated dna,binding efficiency of wildtype cdca7 to hemimethylated dna was significantly higher compared to unmethylated or fully methylated dna; mutations eliminated binding,,"gene expression, dna methylation",cdca7,,unknown,mutation
10780974.pdf,10.3390/plants13010094,triticum aestivum,bsmv-mediated rna interference,reduced stripe rust susceptibility,60–75% reduction in pst_9302 expression; decreased uredium formation,,disease resistance,pst_9302,,unknown,knockdown/out
10784444.pdf,10.1186/s12284-024-00685-0,oryza sativa,crispr/cas9 knockout,"growth retardation, impaired root growth, pale yellow leaves, decreased ros and fe levels","shoot length: 20 cm (nip), 18 cm (ko1), 16 cm (ko2); root length: 30 cm (nip), 15 cm (ko1), 10 cm (ko2); ros content: 3 μmol/g (nip), 4 μmol/g (ko1), 3 μmol/g (ko2); fe concentration: 1.2 mg/g (nip), 0.8 mg/g (ko1), 0.7 mg/g (ko2)",,"plant transformation, disease resistance, photosynthesis, nutrient utilization",osuge2,,crispr/cas9,knockdown/out
10784647.pdf,10.1002/pld3.563,pisum sativum,crispr/cas9 knockout,saponin content,>99.8% reduction | ~12% increase | ~5% decrease | 99.8% reduction in saponins,camv35s,"pharmaceutical precursors, seed property",psbas1,,crispr/cas9,knockdown/out
10789998.pdf,10.1016/j.dib.2023.109974,oryza sativa l.,gamma irradiation-induced mutation,"blast disease resistance, kernel elongation",disease severity: 1 (mahsuri mutant); 6 (mahsuri); kernel elongation ratio: 2.15 (mahsuri mutant); 1.73 (mahsuri); amylose content: 26.1% (mahsuri mutant); 25.4% (mahsuri) | amylose content: 26.1% (mahsuri mutant); kernel elongation ratio: 2.00–2.31 (mean: 2.15); disease severity score: 1 (resistant),,"disease resistance, fruit property",snps,,unknown,mutation
10791936.pdf,10.3389/fbioe.2023.1336215,corynebacterium glutamicum,site-saturation mutagenesis,feedback inhibition resistance,l-threonine production increased 3.4-fold; specific activity increased 54.0% and 69.2% for a384d and i397v mutants,ptrc,"gene expression, biosensing, biofuel precursors",homoserine dehydrogenase (cghsd),,unknown,modification
10792508.pdf,10.18699/vjgb-23-112,arabidopsis thaliana,knockout,decreased dna import into mitochondria,2.7 kb fragment: 1.44 ± 0.47; 265 bp fragment: 2.84 ± 0.56 | 2.7 kb fragment: 1.47 ± 0.64; 265 bp fragment: 2.31 ± 1.02 | col-0: 0.176 ± 0.011; tim17-1: 0.119 ± 0.044; tim23-2: 0.173 ± 0.021 | decrease in 265 bp dna fragment import; decrease in 2.7 kb dna fragment import,,"plant transformation, gene expression",tim17-1,,unknown,knockdown/out
10797474.pdf,10.2903/j.efsa.2024.8489,zea mays,agrobacterium-mediated transformation,resistance to european corn borer (ostrinia nubilalis),expression level of cry1ab protein; reduced damage to plant tissues,camv 35s promoter,disease resistance,cry1ab,,agrobacterium,modification
10799208.pdf,10.1111/mpp.13422,nicotiana benthamiana,virus-induced gene silencing (vigs),enhanced bamv accumulation,bamv-gfp signal intensity increased by 3-fold in α1i and α2i plants; bamv grna accumulation increased by 2-fold,,"disease resistance, virus infection",importin α1 and α2,,vigs,knockdown/out
10799210.pdf,10.1111/mpp.13397,nicotiana benthamiana,agrobacterium-mediated transient expression via agro-infiltration,suppression of bax- and inf1-induced cell death,"reduced transcript levels of rbohb, pr2b, pr4a, and wrky12 at specific time points; diminished cell death inhibitory activity with cys25a/cys126a mutation",,"plant transformation, disease resistance",rsia_ctag/cox11,,agrobacterium,modification
10799320.pdf,10.1093/aobpla/plad086,salvia miltiorrhiza,agrobacterium rhizogenes-mediated overexpression,increased tanshinone accumulation,tanshinone i (t-i) accumulation increased; cryptotanshinone (ct) accumulation increased,,"chemicals, pharmaceutical precursors",smerf1b-like,,agrobacterium,overexpression
10815662.pdf,10.3390/ijms25020998,hordeum vulgare,crispr/cas9 knockout,"increased salt tolerance, enhanced biomass, improved thousand kernel weight",relative biomass under normal conditions: 1.28 ± 0.08; relative biomass under salt stress: 0.70 ± 0.08; thousand kernel weight: 38.21 ± 3.29 g,u6 promoter,"drought tolerance, above-ground biomass yield, seed yield",hvgsk1.1,,crispr/cas9,knockdown/out
10815793.pdf,10.3390/ijms25020830,oryza sativa,crispr/cas9 knockout,panicle blast resistance,percentage of diseased grains: 0-100%; expression levels of pb4 in overexpression plants: significantly induced,,disease resistance,pb4,,crispr/cas9,knockdown/out
10816222.pdf,10.3390/ijms25021327,arabidopsis thaliana,agrobacterium-mediated overexpression,drought resistance,germination rate increased; root length increased | aba synthesis increased; br synthesis decreased | h₂o₂ decreased; mda decreased; sod increased; cat increased | primary root length: oe lines longer than wt; tiller count: decreased in oe lines; leaf area: decreased in oe lines; rosette size: decreased in oe lines,,drought tolerance,d14,,agrobacterium,overexpression
10816595.pdf,10.3390/ijms25021346,g. hirsutum,virus-induced gene silencing (vigs),higher expression in fuzzless materials,expression level 2.3 times higher in fuzzless materials | expression level 2.2 times higher in fuzzless materials,,"above-ground biomass property, fiber property",ghmdvl14,,vigs,knockdown/out
10837013.pdf,10.1093/jxb/erad415,nicotiana attenuata,virus-induced gene silencing (vigs),"reduced expression of naf6'h1, decreased scopoletin and scopolin production, increased susceptibility to alternaria alternata",naf6'h1 expression decreased by 50-70%; scopoletin and scopolin levels reduced by 50-70%; lesion diameter increased by 20-30 mm | scopoletin levels increased by 200%; scopolin levels increased by 150%,naf6'h1 promoter,"disease resistance, gene expression",nawrky70,,vigs,knockdown/out
10837019.pdf,10.1093/jxb/erad433,oryza sativa,crispr/cas9 knockout,"hypersensitivity to abiotic stress (salt, aba, cold)","root length under 125 mm nacl: wt 100%, scr106 30%; shoot length under 125 mm nacl: wt 100%, scr106 25%; root length under 4°c: wt 100%, scr106 10%; shoot length under 4°c: wt 100%, scr106 15%",osubiquitin,"disease resistance, stress tolerance",osscr106,,crispr/cas9,knockdown/out
10848876.pdf,10.1111/mpp.13428,arabidopsis thaliana,spontaneous natural mutation (snp),autoimmune phenotype; enhanced expression of stress-related genes; increased pathogen resistance,relative fluorescence units for luciferase activity: camta3h386d = 1.0; camta3 = 4.0; control = 1.0; pathogen resistance (cfu/leaf disc): camta3h386d = 1.0; wt = 0.8,,"disease resistance, plant transformation, immune response",camta3,,unknown,mutation
10855346.pdf,10.3390/ijms25031497,oryza sativa,missense mutation,early tillering vigor,fold change: 2.03; lod: 6.18 | fold change: 9.06; lod: 7.57 | fold change: 2.03; lod: 4.26 | fold change: 4.21; lod: 4.67 | upregulated in etv lines compared to ltv lines | upregulated by 9.06-fold in etv lines compared to ltv lines | downregulated by 2.0-fold in etv lines compared to ltv lines,,"above-ground biomass property, fruit property, leaf property",os04g0506800,,unknown,mutation
10856844.pdf,10.3390/plants13030421,paeonia ostii,agrobacterium-mediated overexpression,increased root development,average rooting number: 5.6; rooting rate: 56.7%,35s promoter,"root property, root yield",posod,,agrobacterium,overexpression
10856965.pdf,10.3390/plants13030340,zea mays,crispr/cas9 knockout,enhanced drought tolerance,survival rate increased by 38.79 times under drought stress; pod activity increased by 1.5-fold; sod activity increased by 1.3-fold,camv35s,drought tolerance,zmpp2c15,,crispr/cas9,knockdown/out
10858049.pdf,10.1038/s41467-024-45575-7,arabidopsis thaliana,agrobacterium-mediated transformation with gfp-uvr8s402a and gfp-uvr8s402d variants,"increased binding of rup proteins, enhanced flavonoid biosynthesis",hy5 protein accumulation increased by 30%; chs enzyme activity increased by 25%,camv 35s promoter,"photosynthesis, uv-b radiation response",uvr8,,agrobacterium,modification
10860551.pdf,10.7717/peerj.16873,arabidopsis thaliana,t-dna insertional mutagenesis,"root architecture, seedling development, reproductive maturity",root length: 30 cm (control); 40 cm (auxin treatment); lateral root density: 10 roots/cm (control); 15 roots/cm (auxin treatment); aboveground biomass: 25 mg (control); 35 mg (auxin treatment); belowground biomass: 20 mg (control); 25 mg (auxin treatment) | root length; lateral root density,,"root property, above-ground biomass yield, below-ground biomass property",arf,,unknown,modification
10869442.pdf,10.1007/s00299-024-03151-9,arabidopsis thaliana,agrobacterium-mediated overexpression,response to biotic stress,gene expression levels; callose deposition patterns; plant susceptibility to pseudomonas syringae,adh1 promoter; cyc promoter,"disease resistance, plant transformation","rin4-like/noi proteins (noi10, noi11)",,agrobacterium,overexpression
10869677.pdf,10.1186/s13568-024-01679-3,cyberlindnera jadinii,artp mutagenesis,increased rna content,156 ± 4.5 mg/g dcw; 184 ± 4.9 mg/g dcw,,"rna production, industrial applications",rrna,,unknown,modification
